title,score,director,genre
1996-1997 nba championship season - chicago bulls,3.4989106753812638,larry weitzman,"documentary, special interest"
1br,3.538784067085954,david marmor,"horror movies, independent movies, thrillers"
1st summoning,3.5160642570281126,raymond wood,"horror movies, independent movies"
2 alone in paris,3.5467391304347826,"ramzy bedia, éric judor","comedies, international movies"
2 below 0,3.448936170212766,tim cash,comedy
2 days in new york,3.563265306122449,julie delpy,comedy
2 hearts,3.5285087719298245,lance hool,"dramas, faith & spirituality, romantic movies"
2 states,3.5954446854663775,abhishek varman,"comedies, dramas, international movies"
2 weeks in lagos,3.543659043659044,kathryn fasegha,"dramas, international movies, romantic movies"
"2,215",3.537344398340249,nottapon boonprakob,"documentaries, international movies, sports movies"
2.0 (hindi),3.5842105263157893,shankar,"action, drama, science fiction"
2.0 (tamil),3.5009505703422055,shankar,"action, international, science fiction"
2.0 (telugu),3.4541484716157207,shankar,"action, science fiction"
20 feet from stardom,3.5752895752895753,morgan neville,"documentaries, music & musicals"
"20,000 leagues under the sea",3.459205020920502,richard fleischer,"action-adventure, family, science fiction"
2001 lakers,3.5357142857142856,jim podhoretz,"documentary, special interest"
2012,3.5349794238683128,roland emmerich,"action & adventure, sci-fi & fantasy"
2025 - the world enslaved by a virus,3.5,"joshua wesely, simon wesely","action, science fiction"
2036 origin unknown,3.5129032258064514,hasraf dulull,sci-fi & fantasy
2047 virtual revolution,3.4898876404494383,guy-roger duvert,"science fiction, suspense"
20th century women,3.584763948497854,mike mills,"dramas, independent movies"
21,3.5449101796407185,robert luketic,"drama, suspense"
21 & over,3.521694214876033,"jon lucas, scott moore",comedies
21 grams,3.4881889763779528,alejandro g. iñárritu,"drama, suspense"
2149: the aftermath,3.476578411405295,benjamin duffield,science fiction
22 bullets,3.597315436241611,richard berry,"action, suspense"
22 july,3.5326923076923076,paul greengrass,"dramas, thrillers"
22 vs. earth,3.5010917030567685,kevin nolting,"animation, comedy, family"
22-jul,3.6534552845528454,paul greengrass,"dramas, thrillers"
23 blast,3.4576612903225805,dylan baker,"drama, sports"
2307: winter's dream,3.52880658436214,joey curtis,"action & adventure, independent movies, sci-fi & fantasy"
23:59,3.544421487603306,gilbert chan,"horror movies, international movies"
24 hours to live,3.5768463073852295,brian smrz,action
25 kille,3.542682926829268,simranjit singh hundal,"action & adventure, dramas, international movies"
25 sets,3.6375266524520256,matt o'dowd,"arts, entertainment, and culture, comedy, documentary"
26 years,3.4978813559322033,geun-hyun cho,"dramas, international movies, thrillers"
27 september,3.448744769874477,meenakshi vinay rai,drama
"27, el club de los malditos",3.5530888030888033,nicanor loreti,"action & adventure, comedies, international movies"
27: gone too soon,3.602059925093633,simon napier-bell,documentaries
28 days,3.61531190926276,betty thomas,"comedies, dramas"
2:hrs,3.5,d. james newton,"action, kids, young adult audience"
2eleven,3.5598290598290596,derek scott,"action, drama"
2nd chances,3.5479910714285716,elijah holston,"drama, kids, special interest"
3 days to kill,3.564549180327869,mcg,action & adventure
3 deewarein,3.576842105263158,nagesh kukunoor,"dramas, international movies, thrillers"
3 generations,3.45850622406639,gaby dellal,"dramas, lgbtq movies"
3 heroines,3.563073394495413,iman brotoseno,"dramas, international movies, sports movies"
3 idiots,3.5494505494505493,rajkumar hirani,"comedies, dramas, international movies"
3 magic words,3.566191446028513,michael perlin,special interest
3 pints and a rabbi,3.5176211453744495,richard j. perry,"comedy, science fiction"
3 seconds divorce,3.6252465483234713,shazia javed,"documentaries, faith & spirituality"
3 simple meditation practices,3.589958158995816,mark knight,"fitness, special interest"
3 türken & ein baby,3.540650406504065,sinan akkuş,"comedies, international movies"
30 day promise,3.5471092077087794,corey l. branch,"drama, faith and spirituality"
30 days of luxury,3.537475345167653,hani hamdi,"comedies, international movies"
30 minute singing bowl meditation,3.5373931623931623,mark knight,special interest
30 minutes of flowing water,3.473175965665236,mark knight,special interest
30 minutes of nature's beauty,3.5,mark knight,special interest
30 minutes of relaxation,3.53680981595092,mark knight,special interest
30 minutes of serenity,3.5635775862068964,mark knight,special interest
30 minutes of sheep for relaxation,3.5758157389635317,"jim wilmer, mark knight",special interest
30 minutes of water,3.541501976284585,mark knight,"documentary, special interest"
30 minutes of water in nature,3.4968487394957983,mark knight,special interest
