title,score,director,genre
doug dynasty,3.5714285714285716,doug benson,"arts, entertainment, and culture, comedy, special interest"
doug stanhope's the unbookables,3.539761431411531,jeff pearson,"arts, entertainment, and culture, comedy, special interest"
doug stanhope: beer hall putsch,3.535928143712575,jay karas,"arts, entertainment, and culture, comedy, special interest"
doug stanhope: comedians' comedian's comedians,3.498971193415638,brian hennigan,"arts, entertainment, and culture, comedy, special interest"
doug stanhope: no place like home,3.578602620087336,brian hennigan,"arts, entertainment, and culture, comedy, special interest"
doug stanhope: no refunds,3.520127118644068,milton lage,"arts, entertainment, and culture, comedy, special interest"
doug's 1st movie,3.6336206896551726,maurice joyce,"animation, comedy, family"
dov davidoff: lower your expectations,3.571264367816092,john asher,"arts, entertainment, and culture, comedy, special interest"
dovlatov,3.5661605206073754,aleksey german,"dramas, international movies"
down 2 come up,3.5020661157024793,micah troy,drama
down the fence,3.6074468085106384,m.j. isakson,documentaries
down the shore,3.4961165048543688,harold guskin,"drama, suspense"
dr jason leong hashtag blessed,3.4915433403805496,kubhaer t. jethwani,stand-up comedy
dr. heckyl and mr. hype,3.590909090909091,charles b. griffith,comedy
dr. poppy's pet rescue,3.620614035087719,christian hughes,kids
dr. seuss' horton hears a who!,3.4989733059548254,"jimmy hayward, steve martino","animation, comedy, family"
dr. seuss' the cat in the hat,3.4626068376068377,bo welch,"children & family movies, comedies"
dr. seuss' the grinch,3.4586056644880174,"scott mosier, yarrow cheney","children & family movies, comedies"
dr. seuss' the lorax,3.5417607223476297,"chris renaud, kyle balda",children & family movies
dragon around,3.5577731092436973,jack hannah,"animation, family"
dragon day,3.476241900647948,jeffrey travis,"drama, science fiction, suspense"
dragon eyes,3.569416498993964,john hyams,"action, drama"
dragon quest your story,3.431174089068826,"takashi yamazaki, ryuichi yagi, makoto hanafusa","action & adventure, anime features, children & family movies"
dragon tiger gate,3.5301724137931036,wilson yip,"action & adventure, international movies"
dragonheart,3.4833333333333334,rob cohen,"action & adventure, sci-fi & fantasy"
dragonheart 3: the sorcerer,3.510940919037199,colin teague,"action & adventure, sci-fi & fantasy"
dragonheart: a new beginning,3.529220779220779,doug lefler,"action & adventure, sci-fi & fantasy"
dragonheart: battle for the heartfire,3.6025390625,patrik syversen,"action & adventure, sci-fi & fantasy"
dragonheart: vengeance,3.5989583333333335,ivan silvestrini,"action & adventure, sci-fi & fantasy"
dragonkala ka rahasya,3.58008658008658,rajiv chilaka,children & family movies
dragons: dawn of the dragon racers,3.503024193548387,"elaine bogan, john sanford","children & family movies, comedies"
dragons: rescue riders: hunt for the golden dragon,3.5842217484008527,"tj sullivan, greg rankin","children & family movies, comedies"
dragons: rescue riders: huttsgalor holiday,3.4829787234042553,"greg rankin, tj sullivan","children & family movies, comedies"
dragons: rescue riders: secrets of the songwing,3.535502958579882,"greg rankin, tj sullivan","children & family movies, comedies"
dragonslayer,3.515486725663717,matthew robbins,"action, adventure, fantasy"
drain alcatraz,3.5084745762711864,wayne abbott,documentary
drain the bermuda triangle,3.5580708661417324,jobim sampson,documentary
drain the great lakes,3.5792291220556747,"crispin sadler, wayne abbott",documentary
drain the ocean: wwii,3.5655737704918034,mike slee,"documentary, historical"
drain the sunken pirate city,3.613006396588486,sophie harris,"documentary, historical"
drain the titanic,3.595190380761523,jobim sampson,"documentary, historical"
drama drama,3.5643153526970957,martin guigui,"arts, entertainment, and culture, young adult audience"
drastic measures,3.5976138828633406,wade alexander,"drama, horror, suspense"
dream big: engineering our world,3.59009900990099,greg macgillivray,documentaries
dream boat,3.58195020746888,tristan ferland milewski,"documentaries, international movies, lgbtq movies"
dream boy,3.585239085239085,rajesh kannaparthi,"comedy, drama, romance"
dream girl,3.593320235756385,shivang shukla,romance
dream visions,3.543824701195219,christian smooth,"drama, horror"
dream/killer,3.5672097759674135,andrew jenks,documentaries
dreaming grand avenue,3.5417582417582416,hugh schulze,"arthouse, drama"
dreaming of braddock,3.4557344064386317,"cavi borges, ulisses mattos","comedy, drama"
dreaming out loud,3.4761904761904763,harold young,"comedy, drama"
dreamtime,3.498065764023211,jay wright,horror
dreamy eyes,3.5894632206759445,victor vu,"dramas, international movies, romantic movies"
dressed to kill,3.543824701195219,roy william neill,"drama, suspense"
dries,3.5793172690763053,reiner holzemer,"documentaries, international movies"
drink drank drunk,3.4848812095032398,yeung yat-tak,"comedies, international movies"
dripping in chocolate,3.5628803245436105,mark joffe,"drama, romance, suspense"
drishyam,3.5095541401273884,nishikant kamat,"dramas, international movies, thrillers"
drishyam 2,3.535490605427975,jeethu joseph,drama
drive,3.5222437137330753,tarun mansukhani,"action & adventure, international movies"
drive by,3.640625,juan frausto,"action, drama"
drive thru,3.4926931106471817,"shane kuhn, brendan cowles","comedy, horror"
driven to dance,3.5444444444444443,tati vogt,drama
driving licence,3.492481203007519,jean paul lal,drama
drowning mona,3.4481765834932823,nick gomez,"comedy, drama, suspense"
drug war,3.5671487603305785,johnnie to,action
drugs as weapons against us,3.5960743801652892,john l. potash,"documentary, special interest"
drunk parents,3.491111111111111,fred wolf,comedies
drunk wedding,3.453862660944206,nick weiss,comedy
"drunk, stoned, brilliant, dead: the story of the national lampoon",3.5959488272921107,douglas tirola,documentary
dry martina,3.580498866213152,che sandoval,"dramas, independent movies, international movies"
dsp dev,3.497029702970297,mandeep benipal,"action, drama, suspense"
dtc yukemuri junjo hen from high & low,3.5494736842105263,norihisa hiranuma,"dramas, international movies"
dubsmash,3.517505470459519,keshav depur,"action, drama"
duck butter,3.5071868583162216,miguel arteta,"dramas, independent movies, lgbtq movies"
duck duck goose,3.5281385281385282,chris jenkins,"children & family movies, comedies"
duck the halls: a mickey mouse christmas special,3.5543478260869565,"alonso ramirez ramos, dave wasson","animation, family"
ducktales the movie: treasure of the lost lamp,3.570675105485232,bob hathcock,"action-adventure, animation, comedy"
dude,3.577800829875519,olivia milch,"comedies, dramas, independent movies"
dudes & dragons,3.416304347826087,"maclain nelson, stephen shimek","action, adventure, fantasy"
due date,3.533333333333333,todd phillips,"action & adventure, comedies"
dug's special mission,3.5589390962671907,ronnie del carmen,"animation, comedy, family"
duke is tops,3.485,william l. nolte,"arts, entertainment, and culture"
dukhtar,3.538135593220339,afia nathaniel,"dramas, independent movies, international movies"
dum,3.4876681614349776,eeshwar nivas,"action & adventure, dramas, international movies"
dumb and dumberer: when harry met lloyd,3.5694444444444446,troy miller,comedies
dumb-ish,3.5290697674418605,azim lateef,comedy
dumbo,3.5262605042016806,tim burton,"action-adventure, family, fantasy"
dummy,3.50418410041841,matthew thompson,drama
dumplin',3.5030737704918034,anne fletcher,"comedies, dramas, independent movies"
dungeon girl,3.4959100204498976,ulli lommel,"drama, horror"
duniya,3.6123711340206186,ramesh talwar,"drama, international"
duniyadari,3.5334728033472804,sanjay jadhav,romance
duplicate,3.5043103448275863,mahesh bhatt,"comedy, suspense"
duplicity,3.475538160469667,tony gilroy,"drama, suspense"
durgamati - the myth,3.5049407114624507,ashok g.,"horror, suspense"
dushman,3.523109243697479,shagufta rafique,"dramas, international movies"
dust,3.5022522522522523,milcho manchevski,"action, adventure, drama"
dwayne perkins: take note,3.556399132321041,ian harris,"arts, entertainment, and culture, comedy, special interest"
dying to tell,3.480808080808081,hernán zin,"documentaries, international movies"
dynamite,3.5052742616033754,deva katta,"action, romance"
dynasty warriors,3.5917721518987342,chow hin yeung roy,"action & adventure, international movies"
dügün dernek 2: sünnet,3.56875,selçuk aydemir,"comedies, international movies"
düğün dernek,3.5121951219512195,"selçuk aydemir, birkan pusa","comedies, international movies"
e-cigarettes: miracle or menace?,3.449170124481328,emma hatherley,documentaries
e-motion 2.0,3.5010162601626016,frazer bailey,documentary
e-team,3.4800399201596806,"katy chevigny, ross kauffman",documentaries
e.14,3.5283018867924527,rafael flores,drama
eagle and the hawk,3.520971302428256,lewis r. foster,western
eagle eye,3.6164241164241164,d.j. caruso,"action, drama, suspense"
eagles attack at dawn,3.5160550458715596,m. golan,"action, drama"
ear buds: the podcasting documentary,3.6365546218487395,graham elwood,"comedy, documentary, special interest"
early to bed,3.5230125523012554,jack kinney,"animation, comedy, family"
earth and blood,3.5448577680525166,julien leclercq,"dramas, international movies, thrillers"
earth live,3.563,glenn weiss,"animals & nature, documentary, family"
earth to echo,3.557,dave green,"children & family movies, sci-fi & fantasy"
"eartha kitt & sammy davis jr. in ""anna lucasta"" - all black cast classic!",3.516,arnold laven,"action, drama, suspense"
earthquake bird,3.5971370143149284,wash westmoreland,"dramas, romantic movies"
east side sushi,3.477777777777778,anthony lucero,"comedy, drama"
easter island unsolved,3.4637826961770624,geoff luck,"documentary, historical"
easy a,3.5868055555555554,will gluck,"comedies, romantic movies"
"easy come, easy go",3.513100436681223,john rich,"action, arts, entertainment, and culture, comedy"
eat pray love,3.523206751054852,ryan murphy,"dramas, romantic movies"
eat with me,3.578774617067834,david au,"comedy, lgbtq, romance"
eat your heart out,3.5276073619631902,felix o. adlon,"comedy, drama, romance"
"ebony, ivory and jade",3.4756335282651074,c.h. santiago,action
echcharikkai,3.5872340425531917,sarjun,"international movies, thrillers"
echo in the canyon,3.462222222222222,andrew slater,"documentaries, music & musicals"
echoes of fear,3.519607843137255,"brian avenet-bradley, laurence avenet-bradley",horror
ed gein: the butcher of plainfield,3.572649572649573,michael feifer,horror
ed hill: candy and smiley,3.5824634655532357,jeremy podlog,"arts, entertainment, and culture, comedy"
"ed wood's ""the violent years"" - an exploitation schlock classic",3.498995983935743,william morgan,"comedy, drama, suspense"
eddie - strongman,3.471677559912854,matt bell,"documentaries, sports movies"
eddie griffin: undeniable,3.4932038834951458,gobi m. rahimi,"arts, entertainment, and culture, comedy, special interest"
eddie griffin: you can tell 'em i said it,3.5153374233128836,jay karas,"comedy, special interest"
eddie izzard: circle,3.4851598173515983,anastasia pappas,"arts, entertainment, and culture, comedy, special interest"
eddie izzard: definite article,3.595876288659794,ed bye,"arts, entertainment, and culture, comedy, special interest"
eddie izzard: dress to circle,3.5704697986577183,eddie izzard,"arts, entertainment, and culture, comedy, special interest"
eddie izzard: dress to kill,3.547268907563025,larry jordan,"arts, entertainment, and culture, comedy, special interest"
eddie izzard: force majeure,3.685450819672131,sarah townsend,"arts, entertainment, and culture, comedy, special interest"
eddie izzard: stripped,3.4968879668049793,sarah townsend,"arts, entertainment, and culture, comedy, special interest"
eddie izzard: unrepeatable,3.6307531380753137,john gordillo,"arts, entertainment, and culture, comedy, special interest"
eddie murphy: delirious,3.5375275938189845,bruce gowers,stand-up comedy
eddie murphy: raw,3.4624724061810155,robert townsend,stand-up comedy
eddie pence: the (un)special comedy special,3.5942028985507246,dustin jacobs,"arts, entertainment, and culture, comedy, special interest"
eddie pepitone: in ruins,3.553684210526316,steven feinartz,"arts, entertainment, and culture, comedy, special interest"
eddie the eagle,3.5585215605749485,dexter fletcher,"biographical, comedy, drama"
eddie's million dollar cook-off,3.4314606741573033,paul hoen,"comedy, coming of age, sports"
eden,3.469601677148847,megan griffiths,"drama, suspense"
"edgar allan poe's ""the oval portrait""",3.513265306122449,rogelio a. gonzález,"horror, suspense"
edgar allan poe's requiem for the damned,3.56,"johnny bones, tony baez milan, aaron j. shelton, robert tinnell, anthony vingas","horror, suspense"
edge of dawn,3.6416122004357296,jesse stanley,"adventure, suspense"
edge of doom,3.4927536231884058,mark robson,drama
edge of fear,3.52680412371134,bobby roth,"independent movies, thrillers"
edge of seventeen,3.578252032520325,david moreton,"comedies, dramas, independent movies"
edge of the axe,3.474437627811861,josé ramón larraz,"horror, suspense"
edie,3.4581447963800906,simon hunter,"action, drama"
edison,3.4431072210065645,michelle ferrari,documentary
"edmilson filho: notas, comedy about relationships",3.5135658914728682,halder gomes,stand-up comedy
edoardo ferrario: temi caldi,3.5635416666666666,francesco imperato,stand-up comedy
educational songs for kids - looloo kids,3.538135593220339,mora tv,"animation, kids"
educational songs for toddlers - little baby bum,3.592948717948718,cannis holder,kids
ee kathalo paatralu kalpitam,3.5,abhiram m,"drama, suspense"
ee nagaraniki emaindi,3.536082474226804,tharun bhascker,"comedies, independent movies, international movies"
eeb allay ooo!,3.514506769825919,prateek vats,"comedies, dramas, independent movies"
eeda,3.6022494887525562,ajithkumar,"dramas, international movies, romantic movies"
eerie,3.55360824742268,mikhail red,"horror movies, international movies"
effie gray,3.534216335540839,richard laxton,"dramas, international movies, romantic movies"
eggnoid: love & time portal,3.5703463203463204,naya anindita,"dramas, international movies, romantic movies"
eggs,3.5401234567901234,john michael williams,"animation, kids"
eggy,3.550106609808102,sergio manfio,"action, animation, kids"
egonìa,3.6192946058091287,gualtiero serafini,"drama, horror, suspense"
egypt's lost queens,3.5258964143426295,ian a. hunt,"documentary, drama, special interest"
egypt's treasure guardians,3.4788583509513744,"ben allen, tom jenner","documentary, historical"
eh janam tumhare lekhe,3.517821782178218,harjit singh,drama
eight below,3.4760348583877994,frank marshall,"action-adventure, animals & nature, drama"
eight hours from paris,3.495943204868154,philippa lowthorpe,"drama, romance"
eighteen,3.5418410041841004,prem lama,"drama, romance"
either me or my auntie,3.5031315240083507,saeed hamed,"comedies, international movies"
ek baar kaho,3.56423982869379,lekh tandon,"drama, romance"
ek cup chya,3.6052631578947367,"sumitra bhave, sunil sukthankar","dramas, independent movies, international movies"
ek gadi baki anadi,3.5607210626185957,bipin varty,comedy
ek hasina thi,3.5313174946004318,sriram raghavan,"dramas, international movies, thrillers"
ek jaan hain hum,3.5628930817610063,rajiv mehra,"dramas, international movies, music & musicals"
ek khiladi ek haseena,3.5243664717348926,suparn verma,"international movies, music & musicals, thrillers"
ek ladki ko dekha toh aisa laga,3.6014799154334036,shelly chopra dhar,"comedies, dramas, international movies"
ek main aur ekk tu,3.4284253578732105,shakun batra,"comedies, international movies, romantic movies"
ek mini katha,3.482421875,karthik rapolu,"comedy, drama"
ek tha tiger (english subtitled),3.560344827586207,kabir khan,"action, international, romance"
ekaj,3.446969696969697,cati gonzalez,"drama, lgbtq, young adult audience"
ekkadiki pothavu chinnavada,3.5344086021505374,vi anand,"science fiction, suspense"
ekşi elmalar,3.4857142857142858,yılmaz erdoğan,"dramas, international movies"
el ascensor,3.5439672801635993,daniel bernal,science fiction
el camino christmas,3.586099585062241,david e. talbert,"comedies, dramas"
el camino: a breaking bad movie,3.5445134575569357,vince gilligan,"dramas, thrillers"
el che,3.5404858299595143,matías gueilburt,"documentaries, international movies"
"el cid, the legend",3.5343347639484977,pablo chamorro gonzález,documentary
el club de los insomnes,3.5659955257270695,"joseduardo giordano, sergio goyri jr.","dramas, international movies"
el duende satiro,3.5529045643153525,jorge bastidas zea,"drama, horror"
"el especial de alex fernández, el especial",3.4424019607843137,jan suter,stand-up comedy
el fin de eta,3.5356415478615073,justin webster,"documentaries, international movies"
el gran mclintock,3.5,andrew v. mclaglen,western
el lute ii: tomorrow i'll be free,3.453362255965293,vicente aranda,drama
el lute: run for your life,3.539301310043668,vicente aranda,drama
el límite infinito,3.5632911392405062,pablo aulita,"documentaries, international movies, sports movies"
el mundo fuera – alejandro sanz,3.479872881355932,charlie arnaiz,music videos and concerts
"el patrón, radiografía de un crimen",3.5702479338842976,sebastián schindel,"dramas, international movies, thrillers"
"el pepe, a supreme life",3.4643605870020964,emir kusturica,"documentaries, international movies"
el potro: unstoppable,3.5010373443983402,lorena munoz,"dramas, international movies, music & musicals"
el sendero de la anaconda,3.6199575371549892,alessandro angulo,"documentaries, international movies"
el silencio es bienvenido,3.539272030651341,gabriela garcía rivas,"dramas, independent movies, international movies"
el testigo,3.6028846153846152,kate horne,"documentaries, international movies"
el topo,3.5116525423728815,alfredo ureta,drama
el viaje: márama y rombai,3.6,federico lemos,"children & family movies, documentaries, international movies"
el vigilante,3.520127118644068,diego ros,drama
el último testigo,3.5890688259109313,philipp stölzl,action & adventure
el-khawaga's dilemma,3.588607594936709,peter mimi,"action & adventure, comedies, international movies"
elaan,3.5853909465020575,k. ramanlal,"action & adventure, cult movies, international movies"
elayne boosler: party of one,3.5969072164948455,steve gerbson,"arts, entertainment, and culture, comedy, special interest"
electrician,3.539301310043668,steve conway,"arthouse, drama"
elektra,3.604901960784314,rob bowman,action
elektra director's cut,3.4422632794457275,rob bowman,action
elena,3.4464285714285716,petra costa,"documentaries, international movies"
elephant,3.5440881763527052,mark linfield,"animals & nature, documentary, family"
elephant song,3.4805725971370145,charles binamé,"drama, suspense"
elephants dream 4 hour,3.5151821862348176,bassam kurdali,"international movies, sci-fi & fantasy"
elevator baby,3.54,akhigbe ilozobhie,"dramas, international movies"
elf pets: a fox cub’s christmas tale,3.48125,chanda bell,children & family movies
elf pets: santa’s reindeer rescue,3.5745526838966204,chanda bell,children & family movies
elfette saves christmas,3.501968503937008,christian cashmir,"comedy, kids, science fiction"
eli,3.4523809523809526,ciarán foy,horror movies
elimination game,3.527352297592998,jon hewitt,action
elisa & marcela,3.5454545454545454,isabel coixet,"dramas, international movies, lgbtq movies"
elizabeth at 90: a family tribute,3.62751677852349,john bridcut,documentaries
elizabeth harvest,3.581,sebastian gutierrez,"dramas, sci-fi & fantasy"
ellen degeneres: relatable,3.452127659574468,"joel gallen, tig notaro","stand-up comedy & talk shows, tv comedies"
elles ont toutes une histoire,3.440119760479042,nils tavernier,"documentaries, international movies"
elles étaient en guerre (1914-1918),3.567484662576687,"fabien beziat, hugues nancy","documentaries, international movies"
elles étaient en guerre 1939-1945,3.5207877461706785,"hugues nancy, fabien beziat","documentaries, international movies"
elliot the littlest reindeer,3.5566239316239314,jennifer westcott,children & family movies
elliott morgan: holy sh*t,3.659751037344398,sharon everitt,"arts, entertainment, and culture, comedy, special interest"
elliott smith - heaven adores you,3.5236625514403292,nickolas rossi,documentary
elmer elephant,3.474066390041494,wilfred jaxon,"animation, family"
elodie,3.4925531914893617,daniel ziegler,"drama, suspense"
eloise at the plaza,3.5199619771863118,kevin lima,"comedy, kids"
elon gold: chosen & taken,3.5326315789473686,jay chapman,"arts, entertainment, and culture, comedy, special interest"
elon musk: the real life iron man,3.522727272727273,sonia anderson,documentary
elsewhere,3.5162689804772236,hernán jiménez,"comedy, drama"
elstree 1976,3.492063492063492,jon spira,documentaries
elton john - uncensored,3.539473684210526,chris purchase,documentary
elvira's movie macabre: a bucket of blood,3.562105263157895,"d.j. viola, roger corman","comedy, horror"
elvira's movie macabre: attack of the giant leeches,3.498019801980198,"d.j. viola, bernard l. kowalski","comedy, horror, science fiction"
elvira's movie macabre: beast from haunted cave,3.5606382978723405,"d.j. viola, monte hellman","comedy, horror, suspense"
elvira's movie macabre: don't look in the basement,3.497716894977169,"d.j. viola, s.f. brownrigg","comedy, horror, suspense"
elvira's movie macabre: eegah,3.5230125523012554,"d.j. viola, arch hall sr.","action, comedy, horror"
elvira's movie macabre: hercules and the captive women,3.514141414141414,"d.j. viola, vittorio cottafavi","action, comedy, horror"
elvira's movie macabre: i eat your skin,3.512448132780083,"d.j. viola, del tenney","comedy, horror"
elvira's movie macabre: lady frankenstein,3.489,"jim kunz, mel welles","comedy, horror, science fiction"
elvira's movie macabre: manos: the hands of fate,3.5577319587628864,"d.j. viola, harold p. warren","comedy, horror"
elvira's movie macabre: night of the living dead,3.505252100840336,"d.j. viola, george a. romero","comedy, horror"
elvira's movie macabre: santa claus conquers the martians,3.4290393013100435,"d.j. viola, stephen chiodo, nicholas webster","action, comedy, horror"
elvira's movie macabre: scared to death,3.5657596371882088,"d.j. viola, christy cabanne","comedy, horror, suspense"
elvira's movie macabre: teenagers from outer space,3.3963675213675213,"d.j. viola, tom graeff","comedy, horror, science fiction"
elvira's movie macabre: the brain that wouldn't die,3.4849462365591397,"d.j. viola, joseph green","comedy, horror, science fiction"
elvira's movie macabre: the giant gila monster,3.555187637969095,"knox hughes, ray kellogg","comedy, horror, science fiction"
elvira's movie macabre: the killer shrews,3.4741573033707867,"d.j. viola, ray kellogg","comedy, horror, science fiction"
elvira's movie macabre: the manster,3.5824949698189137,"d.j. viola, george p. breakston","comedy, horror, science fiction"
elvira's movie macabre: the satanic rites of dracula,3.5938914027149322,"d.j. viola, alan gibson","comedy, horror, suspense"
elvira's movie macabre: the terror,3.554421768707483,"d.j. viola, roger corman, francis ford coppola","comedy, horror, suspense"
elvira's movie macabre: the werewolf of washington (2010),3.518008474576271,"d.j. viola, milton moses ginsberg","comedy, horror"
elvira's movie macabre: tormented,3.4969262295081966,"d.j. viola, bert i. gordon","comedy, horror"
elvira: mistress of the dark,3.5706401766004414,james signorelli,"comedy, horror"
elvis & nixon,3.535164835164835,liza johnson,"comedy, historical"
elyse,3.6081370449678802,stella hopkins,drama
embryo,3.5461065573770494,patricio valladares,"horror, science fiction"
emelie,3.5089285714285716,michael thelin,"horror movies, thrillers"
emerald falls,3.5197505197505197,peter andrikidis,suspense
emerald run,3.4789356984478936,eric etebari,"action, drama, suspense"
emergency vehicles for kids - gecko's real vehicles,3.5939393939393938,christian hughes,kids
emi: liya hai to chukana padega,3.6154661016949152,saurabh kabra,"comedies, dramas, international movies"
emicida: amarelo - live in são paulo,3.5133843212237093,fred ouro preto,"documentaries, international movies, music & musicals"
emil and the detectives,3.61482254697286,peter tewksbury,"action-adventure, crime, family"
emily bronte's wuthering heights,3.47568710359408,"peter kosminsky, mary soan",drama
emma' (mother),3.4390243902439024,riri riza,"dramas, international movies"
emma's chance,3.452182952182952,anna elizabeth james,"drama, sports"
emma's war,3.513265306122449,clytie jessop,drama
emmet otter's jug-band christmas,3.5893970893970892,jim henson,"drama, kids"
emo the musical,3.544989775051125,neil triffett,"dramas, international movies, music & musicals"
emotional fool,3.5051546391752577,prince jagrit kiriti,"drama, romance"
empire of dreams: the story of the star wars trilogy,3.5454545454545454,"edith becker, kevin burns",documentary
empire of scents,3.51078431372549,kim nguyen,"documentaries, international movies"
employee of the month,3.605543710021322,greg coolidge,"comedies, romantic movies"
en jeevan paduthu,3.4851380042462843,r. sundarrajan,"drama, romance"
en manaivi,3.542887029288703,sundar rao nadkarni,drama
enai noki paayum thota,3.50989010989011,gautham menon,"action, suspense"
enakkoru magan pirappan,3.5042462845010616,keyaar,"comedy, drama"
enakku vaaitha adimaigal,3.4957356076759063,mahendran rajamani,"comedy, drama"
enchanted,3.5180467091295116,kevin lima,"comedy, family, fantasy"
enchantimals secrets of snowy valley,3.5357873210633946,jayson thiessen,"animation, kids"
enchantimals spring into harvest hills,3.4946695095948828,jayson thiessen,"animation, kids"
enchantimals: finding home,3.489561586638831,karen j lloyd,"animation, kids"
enchantment,3.4660297239915074,irving reis,"drama, romance"
enclosed,3.5298013245033113,st. joseph nwanze,"drama, romance"
encounter: the killing,3.4768722466960353,ajay phansekar,"dramas, independent movies, international movies"
end game,3.5705521472392636,"rob epstein, jeffrey friedman",documentaries
end of watch,3.546641791044776,david ayer,action & adventure
endless,3.521784232365145,lambert nnorom,"drama, romance"
endless?,3.4590643274853803,maryam zahirimehr,"arthouse, drama, suspense"
enemy,3.4800420168067228,denis villeneuve,"independent movies, thrillers"
engada iruthinga ivvalavu naala,3.5447154471544717,kevin,drama
english babu desi mem,3.505081300813008,praveen nischol,"comedies, dramas, international movies"
enhanced,3.6021276595744682,james mark,"action, science fiction"
eni,3.590818363273453,ashvin m,"drama, romance"
enissa amani: ehrenwort,3.4795081967213113,max amini,stand-up comedy
enlighten us,3.5251572327044025,jenny carchman,documentaries
enna satham indha neram,3.4339430894308944,guru ramesh,drama
ennul aayiram,3.4913232104121477,krishna kumar,romance
enola holmes,3.58455114822547,harry bradbeer,"action & adventure, children & family movies, dramas"
entanglement,3.4427645788336934,damon jamal,drama
enter the anime,3.539795918367347,alex burunova,"documentaries, international movies"
enter the dangerous mind,3.508510638297872,youssef delara,"horror, suspense"
enter the dragon,3.477659574468085,robert clouse,"action & adventure, classic movies"
enter the warriors gate,3.441431670281996,matthias hoene,"action & adventure, international movies, sci-fi & fantasy"
entertainment,3.5199579831932772,rick alverson,comedy
entrepreneurs,3.544397463002114,marcus gautesen,comedy
ephraim's rescue,3.502952755905512,t.c. christensen,"adventure, drama, western"
equal means equal,3.617063492063492,kamala lopez,documentary
equals,3.5468431771894093,drake doremus,"dramas, romantic movies, sci-fi & fantasy"
equilibrium,3.464203233256351,kurt wimmer,"action & adventure, dramas, sci-fi & fantasy"
eragon,3.5085653104925054,stefen fangmeier,"action-adventure, family, fantasy"
eric andre: legalize everything,3.5866807610993656,eric notarnicola,stand-up comedy
eric clapton: standing at the crossroads,3.5234833659491196,robin bextor,documentary
eric ldle's what about dick?,3.575413223140496,"eric idle, aubrey powell","comedies, music & musicals"
erica rhodes: la vie en rhodes,3.54989816700611,brian volk-weiss,"arts, entertainment, and culture, comedy"
erik griffin: amerikan warrior,3.5389105058365757,aristotle athiras,"arts, entertainment, and culture, comedy, special interest"
erik rivera: i'm no expert,3.566735112936345,manny rodriguez,"arts, entertainment, and culture, comedy, special interest"
"eriko, pretended",3.4420935412026727,藤村明世,"arthouse, comedy, drama"
ernest cole,3.5521042084168335,jurgen schadeberg,documentary
ernest saves christmas,3.493927125506073,john cherry,comedy
erotic fire of the unattainable,3.5519911504424777,frank vitale,"drama, romance"
errementari: the blacksmith and the devil,3.55,paul urkijo alijo,"horror movies, international movies, sci-fi & fantasy"
error in judgement,3.529850746268657,scott p. levy,suspense
eruption la,3.494747899159664,sean cain,"action, adventure, fantasy"
escape,3.602669404517454,roar uthaug,action
escape and evasion,3.5155925155925156,storm ashwood,"action, drama, suspense"
escape from a nazi death camp,3.5310421286031044,hereward pelling,documentary
escape from mr. lemoncello’s library,3.4375,scott mcaboy,children & family movies
escape from planet earth,3.4837662337662336,cal brunker,"children & family movies, comedies, sci-fi & fantasy"
"escape from the ""liberty"" cinema",3.5868200836820083,wojciech marczewski,"comedies, dramas, independent movies"
escape from the bronx,3.479123173277662,enzo g. castellari,"action, science fiction"
escape plan: the extractors (4k uhd),3.494887525562372,john herzfeld,"action, adventure"
escape plan: the extractors aka escape plan 3,3.507972665148064,john herzfeld,"action, adventure"
escape to witch mountain,3.59,john hough,"action-adventure, family, fantasy"
escaping tel aviv,3.519144144144144,sherif arafa,"action & adventure, international movies"
esperando la carroza,3.522198731501057,alejandro doria,"comedies, cult movies, international movies"
estar o no estar,3.603794642857143,marcelo gonzález,"dramas, international movies, romantic movies"
ester steinberg: burning bush,3.4947698744769875,brian volk-weiss,"arts, entertainment, and culture, comedy, special interest"
esther and the king,3.4718614718614718," raoul walsh, mario bava","drama, special interest"
eternal,3.601731601731602,"wilhelm liebenberg, federico sanchez","horror, suspense"
eternal beauty,3.5207423580786026,craig roberts,"comedy, romance"
eternally yours,3.6989247311827955,tay garnett,comedy
eternity,3.498960498960499,gunter h. sanderson,"drama, romance"
"ets among us 2: our alien origins, antarctica, mars and beyond",3.445859872611465,cybela clare,special interest
"ets among us 3: secret space program, alien psychics & crop circle clues",3.4822485207100593,cybela clare,"documentary, special interest"
ets among us: ufo witnesses and whistleblowers,3.465092402464066,cybela clare,special interest
eugene mirman: vegan on his way to the complain store,3.490405117270789,bobcat goldthwait,"arts, entertainment, and culture, comedy, special interest"
euphoria,3.5216110019646365,valeria golino,"dramas, international movies, lgbtq movies"
europa report,3.576107899807322,sebastián cordero,"drama, science fiction, suspense"
europe's most dangerous man: otto skorzeny in spain,3.5251141552511416,"pedro de echave garcía, pablo azorín williams","documentaries, international movies"
europen people,3.540289256198347,alberto gatto,"action, documentary"
eurovision song contest: the story of fire saga,3.5294117647058822,david dobkin,"comedies, music & musicals, romantic movies"
eva,3.4938650306748467,daniel imasuen,drama
evan almighty,3.470472440944882,tom shadyac,"comedy, drama, kids"
evan straw,3.5491967871485945,michael legge,horror
evangelion: death (true)²,3.584280303030303,hideaki anno,"action & adventure, anime features, international movies"
evangelion:1.11 you are (not) alone.,3.513541666666667,"hideaki anno, masayuki, kazuya tsurumaki",anime
